operational_exposure_id,split_x,y_true,y_pred,split_y,interval_days,diameter_delta_raw_mm_side_1,diameter_delta_raw_mm_side_2,rtis_reporting_coverage_pct,turning_indicator_raw,days_since_turning,wheel_profile_2class,locomotive_number,home_shed,defect_zone,defect_division,interval_days_bucket,rtis_coverage_bucket,wear_side1_bucket,wear_side2_bucket,error
OE-530084-608842,test,-67.7,5.957,test,88.0,-0.3,-1.05,88.6364,0,315.0,1.0,30467,,15.0,62.0,interval Q4,coverage Q4,wear1 Q2,wear2 Q2,73.657
OE-1089521-1144139,test,-48.39,24.8543,test,55.0,0.0,0.0,0.0,0,315.0,1.0,37976,KYNE ,1.0,1.0,interval Q4,coverage Q3,wear1 Q5,wear2 Q5,73.2443
OE-741534-741528,test,-64.94,8.2967,test,90.0,0.0,0.0,67.7778,0,315.0,1.0,39049,,5.0,20.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,73.2367
OE-652332-653747,test,-62.0,11.1532,test,6.0,-1.0,-1.0,66.6667,0,315.0,1.0,39069,,5.0,18.0,interval Q1,coverage Q3,wear1 Q2,wear2 Q2,73.1532
OE-741533-741527,test,-64.75,8.2967,test,90.0,0.0,0.0,67.7778,0,315.0,1.0,39049,,5.0,20.0,interval Q5,coverage Q3,wear1 Q4,wear2 Q4,73.0467
OE-758682-950826,test,-42.92,30.0953,test,245.0,0.0,0.0,91.8367,0,315.0,1.0,39366,PADX,1.0,5.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,73.0153
OE-1057539-1080158,test,-52.15,20.8136,test,27.0,0.0,0.0,0.0,0,315.0,1.0,37963,,8.0,29.0,interval Q3,coverage Q3,wear1 Q5,wear2 Q5,72.9636
OE-758683-950827,test,-42.92,29.8977,test,245.0,0.0,0.0,91.8367,0,315.0,1.0,39366,PADX,1.0,5.0,interval Q5,coverage Q4,wear1 Q4,wear2 Q4,72.8177
OE-887506-953982,test,33.47,105.8649,test,64.0,-48.85,-48.95,75.0,0,315.0,1.0,37021,AQE  ,15.0,60.0,interval Q4,coverage Q3,wear1 Q1,wear2 Q1,72.3949
OE-811843-880352,test,-45.44,26.5709,test,56.0,0.0,0.0,100.0,0,315.0,0.0,37001,PADX,1.0,1.0,interval Q4,coverage Q5,wear1 Q4,wear2 Q4,72.0109
OE-1053792-1073679,test,-52.54,19.3946,test,15.0,-0.48,-0.45,0.0,0,315.0,1.0,37913,,8.0,29.0,interval Q2,coverage Q2,wear1 Q2,wear2 Q2,71.9346
OE-418049-485878,test,-58.0,13.8141,test,95.0,-2.0,-2.0,83.1579,0,248.0,1.0,37209,,4.0,17.0,interval Q5,coverage Q4,wear1 Q1,wear2 Q1,71.8141
